project_name,project_short,project_code,latitude,longitude,site_stage,site_type,site_subtype,site_commodities,tectonic_unit,resource_mt,resource_grade_gt,resource_oz,reserve_mt,reserve_grade_gt,reserve_oz,total_gold_oz,tenement_ids,tenement_types,tenement_holders,tenement_status,minedex_url
8 Mile Dam,8 Mile Dam,J05288,-30.645288,121.462217,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,7.014346,1.392,313918.5,0.0,0.0,0.0,313918.5,P 26/3351,PROSPECTING LICENCE,NORTHERN STAR (KLV) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5b8675fc-712e-40fa-bbe3-1232939d7bbd
Abednego West,Abednego West,J01022,-28.833347,121.773913,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.07,2.1,4726.2,0.0,0.0,0.0,4726.2,M 39/427; L 37/195,MINING LEASE; MISCELLANEOUS LICENCE,GOLDEN CLIFFS NL; NAVIGATOR MINING PTY LTD,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/55b018f0-81a3-4ae6-900b-0049fdfd0a72
Abercromby,Abercromby,J05771,-26.820527,120.329551,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,11.118,1.4496708,518187.0,0.0,0.0,0.0,518187.0,M 53/1095,MINING LEASE,NOVA ENERGY PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f0b566d0-e06b-503d-f499-3d2f7580388b
Agnew - Emu,Agnew - Emu,J00098,-28.004485,120.505808,Operating,Mine,Decline,"Au, Ag",Yilgarn Craton,10.372,4.67261859,1558164.4,4.581,6.62311722,975468.3,2533632.7,M 36/53,MINING LEASE,AGNEW GOLD MINING COMPANY PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/7354e345-ca95-44ad-a82c-17e812f2cb91
Albury Heath,Albury Heath,J00002,-26.787357,118.574415,Operating,Mine,Unspecified,"Au, Ag",Youanmi Terrane,0.528,2.09,35478.9,0.0,0.0,0.0,35478.9,M 51/892,MINING LEASE,BIG BELL GOLD OPERATIONS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/755834c6-06dd-4de1-9155-2768bb68aef6
Aldiss - Karonie,Aldiss - Karonie,J00184,-31.03367,122.561017,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,7.975,1.84369906,472727.8,0.404,1.9,24678.9,497406.7,M 28/43,MINING LEASE,SILVER LAKE (INTEGRA) PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/b20f396b-6282-45b2-ad93-ede776e611de
Alicia,Alicia,J01048,-28.666255,121.93931,Shut,Mine,Openpit,Au,Eastern Goldfields Superterrane,0.038,3.88763158,4749.6,0.0,0.0,0.0,4749.6,M 39/701,MINING LEASE,WESTCAPE NOMINEES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/c374b56e-2826-457c-9bec-98f02f132542
Anglo Saxon - Trouser Legs,Anglo Saxon - Trouser Legs,J00424,-30.076767,122.731489,Care and Maintenance,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,4.917,2.83439089,448074.7,0.73,2.66,62430.2,510504.9,M 31/284,MINING LEASE,GEL RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/698002bd-8d52-4768-9abb-b91d5d758c01
Anthill ,Anthill ,J04003,-30.483628,121.006346,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.42,1.71978873,78515.2,0.0,0.0,0.0,78515.2,M 16/531,MINING LEASE,NORTHERN STAR RESOURCES LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/a529b479-b107-4339-8446-a0c2879ec49b
Aphrodite,Aphrodite,J03406,-30.180871,121.225082,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,22.8,2.18464912,1601426.4,0.0,0.0,0.0,1601426.4,M 24/720,MINING LEASE,APHRODITE GOLD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/ef0e385f-b888-4889-90f2-2e2a28e5fb12
