OBJECTID,PROJ_NAME,PROJ_SHORT,PROJ_CODE,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA,TENEMENT_IDS,TENEMENT_TYPES,TENEMENT_HOLDERS,TENEMENT_STATUS,SITE_TYPE,SITE_SUBTYPE,SITE_STAGE,SITE_COMMODITIES
331145,8 Mile Dam,8 Mile Dam,J05288,Gold,S0236141,-30.645288,121.462217,Eastern Goldfields Superterrane,Gold,Au,Yes,7.014346,million tonnes,1.392,gram/tonne,9763.969632,kilogram,313918.91735412,ounce (troy),,,,,,,,,9763.969632,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/5b8675fc-712e-40fa-bbe3-1232939d7bbd,10/04/2026,P 26/3351,PROSPECTING LICENCE,NORTHERN STAR (KLV) PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Ag"
331146,Abednego West,Abednego West,J01022,Gold,S0002219,-28.833347,121.773913,Eastern Goldfields Superterrane,Gold,Au,Yes,0.07,million tonnes,2.1,gram/tonne,147,kilogram,4726.159809,ounce (troy),,,,,,,,,147,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/55b018f0-81a3-4ae6-900b-0049fdfd0a72,10/04/2026,M 39/427; L 37/195,MINING LEASE; MISCELLANEOUS LICENCE,GOLDEN CLIFFS NL; NAVIGATOR MINING PTY LTD,LIVE; LIVE,Deposit,Unspecified,Undeveloped,"Au, Ag"
331147,Abercromby,Abercromby,J05771,Gold,S0239009,-26.820527,120.329551,Eastern Goldfields Superterrane,Gold,Au,Yes,11.118,million tonnes,1.4496708,gram/tonne,16117.44,kilogram,518187.73572768,ounce (troy),,,,,,,,,16117.44,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/f0b566d0-e06b-503d-f499-3d2f7580388b,10/04/2026,M 53/1095,MINING LEASE,NOVA ENERGY PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Ag"
331155,Agnew - Emu,Agnew - Emu,J00098,Gold,S0019084,-28.004485,120.505808,Yilgarn Craton,Gold,Au,Yes,10.372,million tonnes,4.67261859,gram/tonne,48464.4,kilogram,1558166.6629068,ounce (troy),4.581,million tonnes,6.62311722,gram/tonne,30340.5,kilogram,975469.7393535,ounce (troy),78804.9,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/7354e345-ca95-44ad-a82c-17e812f2cb91,10/04/2026,M 36/53,MINING LEASE,AGNEW GOLD MINING COMPANY PTY LIMITED,LIVE,Mine,Decline,Operating,"Au, Ag"
331172,Albury Heath,Albury Heath,J00002,Gold,S0000002,-26.787357,118.574415,Youanmi Terrane,Gold,Au,Yes,0.528,million tonnes,2.09,gram/tonne,1103.52,kilogram,35478.99232944,ounce (troy),,,,,,,,,1103.52,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/755834c6-06dd-4de1-9155-2768bb68aef6,10/04/2026,M 51/892,MINING LEASE,BIG BELL GOLD OPERATIONS PTY LTD,LIVE,Mine,Unspecified,Operating,"Au, Ag"
331173,Aldiss - Karonie,Aldiss - Karonie,J00184,Gold,S0000390,-31.03367,122.561017,Eastern Goldfields Superterrane,Gold,Au,Yes,7.975,million tonnes,1.84369906,gram/tonne,14703.5,kilogram,472728.5085145,ounce (troy),0.404,million tonnes,1.9,gram/tonne,767.6,kilogram,24678.9133972,ounce (troy),15471.1,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/b20f396b-6282-45b2-ad93-ede776e611de,10/04/2026,M 28/43,MINING LEASE,SILVER LAKE (INTEGRA) PTY LIMITED,LIVE,Mine,Openpit,Shut,"Au, Ag"
331174,Alicia,Alicia,J01048,Gold,S0002312,-28.666255,121.93931,Eastern Goldfields Superterrane,Gold,Au,Yes,0.038,million tonnes,3.88763158,gram/tonne,147.73,kilogram,4749.62985431,ounce (troy),,,,,,,,,147.73,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/c374b56e-2826-457c-9bec-98f02f132542,10/04/2026,M 39/701,MINING LEASE,WESTCAPE NOMINEES PTY LTD,LIVE,Mine,Openpit,Shut,Au
331193,Anglo Saxon - Trouser Legs,Anglo Saxon - Trouser Legs,J00424,Gold,S0000811,-30.076767,122.731489,Eastern Goldfields Superterrane,Gold,Au,Yes,4.917,million tonnes,2.83439089,gram/tonne,13936.7,kilogram,448075.3157149,ounce (troy),0.73,million tonnes,2.66,gram/tonne,1941.8,kilogram,62430.3205246,ounce (troy),15878.5,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/698002bd-8d52-4768-9abb-b91d5d758c01,10/04/2026,M 31/284,MINING LEASE,GEL RESOURCES PTY LTD,LIVE,Mine,Openpit,Care and Maintenance,"Au, Ag"
331198,Anthill ,Anthill ,J04003,Gold,S0225239,-30.483628,121.006346,Eastern Goldfields Superterrane,Gold,Au,Yes,1.42,million tonnes,1.71978873,gram/tonne,2442.1,kilogram,78515.3392487,ounce (troy),,,,,,,,,2442.1,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/a529b479-b107-4339-8446-a0c2879ec49b,10/04/2026,M 16/531,MINING LEASE,NORTHERN STAR RESOURCES LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Ag"
331199,Aphrodite,Aphrodite,J03406,Gold,S0225534,-30.180871,121.225082,Eastern Goldfields Superterrane,Gold,Au,Yes,22.8,million tonnes,2.18464912,gram/tonne,49810,kilogram,1601428.70807,ounce (troy),,,,,,,,,49810,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/ef0e385f-b888-4889-90f2-2e2a28e5fb12,10/04/2026,M 24/720,MINING LEASE,APHRODITE GOLD PTY LTD,LIVE,Mine,Openpit,Proposed,"Au, Ag"
